Question Number,Question (English),Question (Hindi),Option A (English),Option A (Hindi),Option B (English),Option B (Hindi),Option C (English),Option C (Hindi),Option D (English),Option D (Hindi),Correct Answer (English),Correct Answer (Hindi)
11,"Among the following which is not a step for profiling?","निम्नलिखित में से कौन सा प्रोफाइलिंग के लिए एक कदम नहीं है","Interviewing process","साक्षात्कार प्रक्रिया","Threat assessment","खतरे का आकलन","Visual profiling of potential terrorist","संभावित आतंकवादी की दृश्य रूपरेखा","Excessive fidgeting","अत्यधिक चंचलता","Excessive fidgeting","अत्यधिक चंचलता"
12,"Profiling is not done by which of the following staff in airport?","एयरपोर्ट में निम्नलिखित में से किस कर्मचारी द्वारा प्रोफाइलिंग नहीं की जाती है?","Airline staff at check in counters","चेक इन काउंटरों पर एयरलाइन कर्मचारी","CISF screeners at pre-embarkation security check point","प्रीइम्बार्केशन सुरक्षा जांच बिंदु पर सीआईएसएफ स्क्रीनर्स","Officer at Immigration and customs counter","आव्रजन और सीमा शुल्क काउंटर पर अधिकारी","Railway reservation clerk","रेलवे आरक्षण लिपिक","Railway reservation clerk","रेलवे आरक्षण लिपिक"
13,"Systematic observation of passenger to categorized them into threatening and non threatening so that additional attention can be given to threatening passenger is known as:","यात्रियों को धमकी देने वाले और गैर धमकी देने वाले में वर्गीकृत करने के लिए व्यवस्थित अवलोकन ताकि यात्रियों को धमकी देने पर अतिरिक्त ध्यान दिया जा सके:-","Positioning","पोजीशनिंग","Projection","प्रक्षेपण","Profiling","रूपरेखा","Sampling","सैम्पलिंग","Profiling","रूपरेखा"
14,"The following cargo can be send on passenger cargo.","निम्नलिखित कार्गो को यात्री कार्गो पर भेजा जा सकता है।","Only cargo forwarded by known consignor","ज्ञात प्रेषक द्वारा केवल कार्गो अग्रेषित किया गया","Only cargo forwarded by unknown consignor","अज्ञात प्रेषक द्वारा केवल कार्गो अग्रेषित किया गया","AVI","एवी","All of the above","","All of the above",""
15,"What are the characteristic of computer aided pax profiling system?","कंप्यूटर एडेड पैक्स प्रोफाइलिंग सिस्टम की विशेषताएं क्या हैं?","To know the health status of the passenger","यात्री के स्वास्थ्य की स्थिति जानने के लिए","To know the bank balance of the passenger","यात्री का बैंक बैलेंस जानने के लिए","To know the IQ of passenger","यात्री का आईक्यू जानने के लिए","Study the passenger personal detail before check-in","चेक-इन से पहले यात्रियों के व्यक्तिगत विवरण का अध्ययन करें","Study the passenger personal detail before check-in","चेक-इन से पहले यात्रियों के व्यक्तिगत विवरण का अध्ययन करें"
16,"What is account customer?","खाता ग्राहक क्या है?","Having account or credit account with airlines","एयरलाइंस के साथ खाता या क्रेडिट खाता होना","Having account with airport operator","एयरपोर्ट ऑपरेटर के साथ खाता होना","Having his own account in at least one foreign bank","कम से कम एक विदेशी बैंक में अपना खाता होना","Operates the account of consignee","परेषिती के खाते का संचालन करता है","Having account or credit account with airlines","एयरलाइंस के साथ खाता या क्रेडिट खाता होना"
17,"Which of the bag is not suspicious bag?","कौन सा बैग संदिग्ध बैग नहीं है?","Dusty trolley bag","धूल भरा ट्रॉली बैग","Big bag with less weight","कम वजन वाला बड़ा बैग","Small bag with more weight","अधिक वजन वाला छोटा बैग","Baggage with books and cloths","किताबों और कपड़ों के साथ सामान","Baggage with books and cloths","किताबों और कपड़ों के साथ सामान"
18,"Which of the following best describes the purpose of profiling?","निम्नलिखित में से कौन प्रोफाइलिंग के उद्देश्य का सबसे अच्छा वर्णन करता है?","To conduct 100% physical check of baggage","सामान की 100% भौतिक जांच करने के लिए","To minimise the inconvenience caused to passenger due to security check","सुरक्षा जांच के कारण यात्रियों को होने वाली असुविधा को कम करने के लिए","To Identify passenger who may pose a threat to civil aviation operations and to subject them to further security check","नागरिक उड्डयन संचालन के लिए खतरा पैदा करने वाले यात्रियों की पहचान करना और उन्हें आगे की सुरक्षा जांच के अधीन करना","To identify the celebrity among the passenger","यात्री के बीच सेलिब्रिटी की पहचान करने के लिए","To Identify passenger who may pose a threat to civil aviation operations and to subject them to further security check","नागरिक उड्डयन संचालन के लिए खतरा पैदा करने वाले यात्रियों की पहचान करना और उन्हें आगे की सुरक्षा जांच के अधीन करना"
19,"Which of the following data is not verified in CAPPS?","निम्नलिखित में से कौन सा डेटा CAPPS में सत्यापित नहीं है?","Passenger personnel data such as date of birth, native place, address etc","यात्री कार्मिक डेटा जैसे जन्म तिथि, मूल स्थान, पता आदि।","Passenger educational details","यात्री शैक्षिक विवरण","Passenger bank account details, travel records, club membership details","यात्री बैंक खाता विवरण, यात्रा रिकॉर्ड, क्लब सदस्यता विवरण","Health status of the passenger","यात्री की स्वास्थ्य स्थिति","Health status of the passenger","यात्री की स्वास्थ्य स्थिति"
20,"Which of the following is not-a tool for profiling?","निम्नलिखित में से कौन-सा प्रोफाइलिंग का उपकरण नहीं है?","X-BIS","","DFMD","","Thermal Imager","","Dosimeter","","Dosimeter",""
21,"Which of the following qualities is not required for screener to conduct profiling?","प्रोफाइलिंग करने के लिए स्क्रीनर के लिए निम्न में से कौन सा गुण आवश्यक नहीं है?","Alertness","मुस्तैदी","Knowledge and logical thinking","ज्ञान और तार्किक सोच","Quick decision making","त्वरित निर्णय लेना","Rigid","कठोर","Rigid","कठोर"
22,"Which of the passenger do you concentrate more during security checks?","सुरक्षा जांच के दौरान आप किस यात्री पर अधिक ध्यान देते हैं?","Educated Passenger","शिक्षित यात्री","Business class passenger","बिजनेस क्लास यात्री","Passenger with many VISAS in his passport","यात्री जिसके पासपोर्ट में कई वीजा हैं","Frequent flyer","अक्सर हवाई यात्रा करने वाला","Passenger with many VISAS in his passport","यात्री जिसके पासपोर्ट में कई वीजा हैं"
23,"Who is responsible for construction of perimeter wall around the aerodrome?","हवाई अड्डे के चारों ओर परिधि दीवार के निर्माण के लिए कौन जिम्मेदार है?","Govt. of the state","","BCAS","","Aircraft Operator","","Airport Operator","","Airport Operator",""
24,"At the airport, at the cargo ware house a representative of CBSE approaches you to send some secret sensitive consignment to Chennai while accepting what you should not look for","हवाई अड्डे पर, कार्गो वेयर हाउस में सीबीएसई का एक प्रतिनिधि चेन्नई को कुछ गुप्त संवेदनशील खेप भेजने के लिए आपसे संपर्क करता है, जबकि आपको जो नहीं देखना चाहिए उसे स्वीकार करते हुए","Letter from head of the deptt.","","Letter from the agency who packed sealed secret sensitive cargo","","Letter from appropriate authority issuing exemption from the security check","","Letter from CASO","","Letter from CASO",""
25,"At the ramp loading of the baggage is in progress in SG119 and your supervisor has informed you that postal mail has to be loaded in the same aircraft and these postal mail is above 200gms. What you will look for?","रैंप पर सामान की लोडिंग SG119 में चल रही है और आपके पर्यवेक्षक ने आपको सूचित किया है कि डाक मेल को उसी विमान में लोड किया जाना है और ये डाक मेल 200 ग्राम से ऊपर है। आप क्या ढूंढेंगे?","Postal mail whether screened or not","डाक मेल चाहे जांच की गई हो या नहीं","A certificate is to be issued by the postal authority","डाक प्राधिकरण द्वारा एक प्रमाण पत्र जारी किया जाना है","Postal mail will be refused to accept","डाक मेल स्वीकार करने से मना कर दिया जाएगा","A & B of the above","","A & B of the above",""
26,"Which is not correct for cargo to be vulnerable or attractive target for terrorist attack?","","Able to target specific flight","","Difficult to screen due to its nature and size","","Low risk to terrorist because they cannot be identified","","Cargo system not well known","","Cargo system not well known",""
27,"If number of security seal of catering vehicle does not match with the number of seal mentioned on security certificate what will be the course of action?","यदि कैटरिंग वाहन की सुरक्षा सील की संख्या सुरक्षा प्रमाण पत्र पर अंकित मुहर की संख्या से मेल नहीं खाती है तो क्या कार्रवाई की जाएगी?","Ignore this and allow vehicle","इसे अनदेखा करें और वाहन को अनुमति दें","Change the seal no. in security certificate","सील नंबर बदलें। सुरक्षा प्रमाणपत्र में","Do not allows the vehicle and inform supervisor","वाहन को अनुमति न दें और पर्यवेक्षक को सूचित करें","Return the vehicle","वाहन लौटाओ","Do not allows the vehicle and inform supervisor","वाहन को अनुमति न दें और पर्यवेक्षक को सूचित करें"
28,"Among the following what comes under special security zone","निम्नलिखित में से विशेष सुरक्षा क्षेत्र के अंतर्गत क्या आता है?","BBA","","Car Parking","","BMA","","Catering Premises","","Catering Premises",""
29,"Passenger is not ready to open the bag for physical search at X-BIS machine, what action you will take?","यात्री एक्स-बीआईएस मशीन पर भौतिक खोज के लिए बैग खोलने के लिए तैयार नहीं है, आप क्या कार्रवाई करेंगे?","Inform ASG/APSU","एएसजी/एपीएसयू को सूचित करें","Put sticker and allow as the bag has passed through X-BIS","स्टिकर लगाएं और अनुमति दें क्योंकि बैग X-BIS से गुजर चुका है","Inform him that it is a procedure or else you will offload the bag","उसे बताएं कि यह एक प्रक्रिया है वरना आप बैग को उतार देंगे","Consider the bag as threat bag and follow the SOP","बैग को थ्रेट बैग समझें और एसओपी का पालन करें","Consider the bag as threat bag and follow the SOP","बैग को थ्रेट बैग समझें और एसओपी का पालन करें"
30,"Boarding for departing aircraft is going on and crew has found an unidentified baggage in the toilet, which does not have any hand baggage tag/identification. What should be the action taken by crew?","विमान के प्रस्थान के लिए बोर्डिंग चल रही है और चालक दल को शौचालय में एक अज्ञात सामान मिला है, जिस पर कोई हैंड बैगेज टैग पहचान नहीं है। चालक दल द्वारा क्या कार्रवाई की जानी चाहिए?","Offload the bag and hand over to security personnel","बैग उतारें और सुरक्षाकर्मियों को सौंप दें","Inform pilot to take aircraft to isolation bay","पायलट को विमान को आइसोलेशन बे में ले जाने की सूचना दें","Make announcement and try to find owner of the bag","घोषणा करें और बैग के मालिक को खोजने का प्रयास करें","Announce about the threat and request the pax to vacate the aircraft?","खतरे की घोषणा करें और पैक्स से विमान खाली करने का अनुरोध करें","Make announcement and try to find owner of the bag","घोषणा करें और बैग के मालिक को खोजने का प्रयास करें"
31,"You are allocated at remote bay guarding grounded aircraft and you received news that bomb exploded in terminal building, What action you will take?","आपको रिमोट बे गार्डिंग ग्राउंडेड एयरक्राफ्ट में आवंटित किया गया है और आपको खबर मिली है कि टर्मिनल बिल्डिंग में बम फट गया है, आप क्या कार्रवाई करेंगे?","Immediately run out of airport","तुरंत एयरपोर्ट से बाहर भागो","Immediately rush to terminal building to see the damage and check if your help is required","क्षति को देखने के लिए तुरंत टर्मिनल भवन की ओर दौड़ें और देखें कि क्या आपकी सहायता की आवश्यकता है","You will be extra alert and vigilant at the aircraft and conduct periodic check of aircraft","आप विमान में अतिरिक्त सतर्क और सतर्क रहेंगे और समय-समय पर विमान की जांच करेंगे","As airport targeted, you will call security in-charge to call CISF to man the aircraft and to relieve at earliest","जैसा कि हवाई अड्डे को लक्षित किया गया है, आप सुरक्षा प्रभारी को सीआईएसएफ को विमान की निगरानी करने और जल्द से जल्द राहत देने के लिए बुलाएंगे","You will be extra alert and vigilant at the aircraft and conduct periodic check of aircraft","आप विमान में अतिरिक्त सतर्क और सतर्क रहेंगे और समय-समय पर विमान की जांच करेंगे"
32,"Sikh passenger want to carry kripan on flight which is routed as Chennai - Mumbai- London you will allow him to carry kripan on person","सिख यात्री चेन्नई-मुंबई-लंदन जाने वाली फ्लाइट में कृपाण ले जाना चाहते हैं। आप उसे व्यक्तिगत रूप से कृपाण ले जाने की अनुमति देंगे","Kripan is allowed from Chennai -mumbai and at Mumbai kripan will be off loaded and kept in register baggage","चेन्नई-मुंबई से कृपाण की अनुमति है और मुंबई में कृपाण को लोड किया जाएगा और रजिस्टर सामान में रखा जाएगा","Kripan will be allowed on person on Chennai Mumbai London flight","कृपाण को चेन्नई-मुंबई-लंदन उड़ान पर व्यक्तिगत रूप से अनुमति दी जाएगी","Kripan would have to be carried in checked- In baggage only from Chennai itself","कृपाण को केवल चेन्नई से ही चेक-इन बैगेज में ले जाना होगा","Suggest the passenger to catch a direct flight from Chennai to londan where kripan can be allowed to be carried","यात्री को चेन्नई से लंदन के लिए सीधी उड़ान पकड़ने का सुझाव दें जहां कृपाण को ले जाने की अनुमति दी जा सकती है","Kripan would have to be carried in checked- In baggage only from Chennai itself","कृपाण को केवल चेन्नई से ही चेक-इन बैगेज में ले जाना होगा"
33,"There is group checking out of which one passenger is carrying a pistol in register bag. What extra precaution you will take?","ग्रुप चेकिंग होती है जिसमें से एक यात्री रजिस्टर बैग में पिस्टल ले जाता है। आप क्या अतिरिक्त सावधानी बरतेंगे?","No extra precaution required","अतिरिक्त सावधानी की आवश्यकता नहीं है","It is a group check-in so it can checked-in on any one passenger name who is in the group","यह एक समूह चेक-इन है, इसलिए यह समूह में शामिल किसी एक यात्री के नाम पर चेक-इन कर सकता है","Check-in of weapon bag should be on the licence holders name only","शस्त्र बैग का चेक-इन लाइसेंस धारक के नाम पर ही होना चाहिए","In group check-in passenger will not carry weapon bag","ग्रुप चेक-इन में यात्री हथियार बैग नहीं ले जा सकेंगे","Check-in of weapon bag should be on the licence holders name only","शस्त्र बैग का चेक-इन लाइसेंस धारक के नाम पर ही होना चाहिए"
34,"Passenger travelling alone with wife and son from IDR-BHO. During SLPC plastic gun and plastic grenade discovered from his bag, What action you will take?","","You will detain pax and inform police to arrest him","","After profiling and questioning if you find him genuine then he can travel along with plastic gun and plastic grenade in hand baggage","","After profiling and questioning if you find him genuine then he can travel but plastic gun and grenade will be loaded in registered baggage.","प्रोफाइलिंग और पूछताछ के बाद यदि आप उसे वास्तविक पाते हैं तो वह यात्रा कर सकता है लेकिन प्लास्टिक की बंदूक और ग्रेनेड को पंजीकृत सामान में लोड किया जाएगा.","You will offload him","आप उसे उतार देंगे","After profiling and questioning if you find him genuine then he can travel but plastic gun and grenade will be loaded in registered baggage.","प्रोफाइलिंग और पूछताछ के बाद यदि आप उसे वास्तविक पाते हैं तो वह यात्रा कर सकता है लेकिन प्लास्टिक की बंदूक और ग्रेनेड को पंजीकृत सामान में लोड किया जाएगा."
35,"The X-ray screener image sees an image of the bag that like organic material in an electronic device but an opaque object blocks most of the area) What happens next?","एक्स-रे स्क्रिनर छवि बैग की एक छवि देखती है जो एक इलेक्ट्रॉनिक उपकरण में जैविक सामग्री की तरह होती है लेकिन एक अपारदर्शी वस्तु अधिकांश क्षेत्र को अवरुद्ध करती है। आगे क्या होगा?","The bag is sent to trace detection and physical search","बैग को ट्रेस डिटेक्शन और फिजिकल सर्च के लिए भेजा जाता है","The bag is searched with HHMD","एचएचएमडी से बैग की तलाशी ली गई","The bag is clear to go past the checkpoint","चौकी से आगे जाने के लिए बैग खाली है","The bag is searched with WTMD","डब्ल्यूटीएमडी से बैग की तलाशी ली गई","The bag is sent to trace detection and physical search","बैग को ट्रेस डिटेक्शन और फिजिकल सर्च के लिए भेजा जाता है"
36,"After the bag is X-Rayed, a pax says that she forgot to remove the handgun found in her purse coming to the airport. She has no authorized papers for the gun. What action should you take?","बैग का एक्स-रे होने के बाद, एक पैक्स का कहना है कि वह हवाई अड्डे पर आने के लिए अपने पर्स में मिली हैंडगन को निकालना भूल गई। उसके पास बंदूक के लिए कोई अधिकृत कागजात नहीं है। आपको क्या कार्रवाई करनी चाहिए?","Allow the pax to pass the checkpoint to pass the checkpoint if there is ammunition. The bag is searched with HHMD","यदि गोला-बारूद है तो पैक्स को चौकी से गुजरने की अनुमति दें। एचएचएमडी से बैग की तलाशी ली गई","Tell the pax to be more careful next time and let pass to the gate area","पैक्स को अगली बार अधिक सावधान रहने के लिए कहें और गेट क्षेत्र में जाने दें","Allow the pax to pass the checkpoint since it seems to be an honest mistake","पैक्स को चौकी से गुजरने दें क्योंकि यह एक ईमानदार गलती लगती है","Notice to Supervisior, and take action as per SOP","सुपरवाइजर को नोटिस, एसओपी के अनुसार कार्रवाई करें","Notice to Supervisior, and take action as per SOP","सुपरवाइजर को नोटिस, एसओपी के अनुसार कार्रवाई करें"
37,"A specific bomb threat call on aircraft has been received at an airport. During the search of the aircraft the First Aid Kit are subjected to thorough search. Now who will reseal the kit if doctors are not available?","एक हवाई अड्डे पर विमान पर एक विशिष्ट बम की धमकी कॉल प्राप्त हुई है। विमान की तलाशी के दौरान प्राथमिक चिकित्सा किट की गहन तलाशी ली जाती है। अब डॉक्टर नहीं मिलेंगे तो किट को फिर से सील कौन करेगा?","CASO","","BDDS","","BTAC","","Airlines security","","Airlines security",""
38,"You are detailed as the PESC supervision in charge and a specific bomb threat call has been received by you. What action will you take?","आप PESC पर्यवेक्षण प्रभारी के रूप में विस्तृत हैं और आपके द्वारा एक विशिष्ट बम धमकी कॉल प्राप्त हुई है। आप क्या कार्रवाई करेंगे?","No action required as the SHA is sterile","","Passengers/staff in Security Hold will evacuate to airside","सिक्योरिटी होल्ड में यात्रियों/कर्मचारियों को एयरसाइड के लिए खाली कर दिया जाएगा","Passengers/staff in Security Hold will evacuate to city side","सिक्योरिटी होल्ड में यात्रियों/कर्मचारियों को शहर की ओर खाली कर दिया जाएगा","Evacuate only the passengers to air side","केवल यात्रियों को हवाई तरफ से निकालें","Passengers/staff in Security Hold will evacuate to city side","सिक्योरिटी होल्ड में यात्रियों/कर्मचारियों को शहर की ओर खाली कर दिया जाएगा"
39,"A non specific threat to terminal building is received at your airport. Who will search the common areas through care takers, cleaners, & watch and ward staff.","आपके हवाईअड्डे पर टर्मिनल बिल्डिंग के लिए एक गैर विशिष्ट खतरा प्राप्त हुआ है। जो केयर टेकर, सफाईकर्मी और वॉच एंड वार्ड स्टाफ के जरिए कॉमन एरिया की तलाशी लेंगे।","Airlines operator","","CASO","","Housekeeping in charge","","Coordinator","","Coordinator",""
40,"An aircraft has been hijacked and lands in one of the airports, where will be the negotiation team positioned?","एक विमान का अपहरण कर लिया गया है और हवाई अड्डों में से एक में उतर गया है, बातचीत करने वाली टीम को कहाँ तैनात किया जाएगा?","At the airport, where aircraft hijacked","एयरपोर्ट पर, जहां विमान हाईजैक हुआ","At the airport, where hijacked aircraft landed","हवाईअड्डे पर, जहां अपहृत विमान उतरा","At Delhi IGI Airport","दिल्ली के आईजीआई एयरपोर्ट पर","At Rashtrapathi Bhavan, Delhi","राष्ट्रपति भवन, दिल्ली","At the airport, where hijacked aircraft landed","हवाईअड्डे पर, जहां अपहृत विमान उतरा"
41,"Some terrorists attacked at the airlines offices in an airport, which contingency plan should adopt?","हवाईअड्डे पर कुछ आतंकवादियों ने एयरलाइन के कार्यालयों पर हमला किया, कौन सी आकस्मिक योजना अपनाई जानी चाहिए?","AHCP","","FFCP","","CTCP","","BTCP","","CTCP",""
42,"An un-attended baggage at parking area, which is seems to be an IED, which kind of contingency plan should be adopted?","पार्किंग क्षेत्र में एक लावारिस सामान, जो आईईडी प्रतीत होता है, किस प्रकार की आकस्मिक योजना को अपनाया जाना चाहिए?","AHCP","","FFCP","","CTCP","","BTCP","","BTCP",""
43,"What you should do, when a VVIP is travelling with his spouse and 2years old baby daughter came for PESC)","आपको क्या करना चाहिए, जब एक वीवीआईपी अपनी पत्नी के साथ यात्रा कर रहा हो और उसकी 2 साल की बेटी पीईसी के लिए आई हो।","Don't frisk and check the VVIP","","Don't frisk and check the spouse of VVIP","वीवीआईपी के जीवनसाथी की तलाशी और जांच न करें","Don't Frisk the VVIP and frisk the 2years old baby daughter of VVIP","वीवीआईपी की 2 साल की बच्ची की जांच-पड़ताल करें","Spouse of VVIP is exempted from PEC","वीवीआईपी के जीवनसाथी को पीईसी से छूट दी गई है","Spouse of VVIP is exempted from PEC","वीवीआईपी के जीवनसाथी को पीईसी से छूट दी गई है"
44,"You are escorting a catering vehicle and you noticed that the security seal has been tampered with. What will be your immediate action?","आप एक कैटरिंग वाहन का मार्गरक्षण कर रहे हैं और आपने देखा कि सुरक्षा मुहर के साथ छेड़छाड़ की गई है। आपकी तत्काल कार्रवाई क्या होगी?","Take the vehicle back to catering establishment immediately","वाहन को तुरंत खानपान प्रतिष्ठान में वापस ले जाएं","Apply new seal/sticker","नई सील/स्टीकर लगाएं","Inform the supervisor immediately","पर्यवेक्षक को तुरंत सूचित करें","No action required as you were escorting it","किसी कार्रवाई की आवश्यकता नहीं है क्योंकि आप इसे एस्कॉर्ट कर रहे थे","Inform the supervisor immediately","पर्यवेक्षक को तुरंत सूचित करें"
45,"Mr. Sharma from Delhi went to visit Vaishno Devi with his family while returning back his mother met with heart attack and died) For carrying her dead body back to Delhi he approaches to spice jet Jammu with all documents which document will be not mandatory for carrying human remain?","दिल्ली से श्री शर्मा अपने परिवार के साथ वैष्णो देवी के दर्शन करने गए थे, वापस लौटते समय उनकी माँ को दिल का दौरा पड़ा और उनकी मृत्यु हो गई। उसके शव को वापस दिल्ली ले जाने के लिए वह सभी दस्तावेजों के साथ स्पाइस जेट जम्मू जाता है, मानव अवशेष ले जाने के लिए कौन सा दस्तावेज अनिवार्य नहीं होगा?","Death certificate from appropriate authority","उपयुक्त प्राधिकारी से मृत्यु प्रमाण पत्र","Embalming certificate by competent authority","सक्षम प्राधिकारी द्वारा संलेपन प्रमाणपत्र","Police clearance certificate","पुलिस क्लीयरेंस प्रमाण पत्र","Cancelled passport of deceased for identity","पहचान के लिए मृतक का रद्द किया गया पासपोर्ट","Cancelled passport of deceased for identity","पहचान के लिए मृतक का रद्द किया गया पासपोर्ट"
46,"You are accepting cargo consignment from a Known Consigner at your cargo warehouse. What you will look for before accepting his cargo?","आप अपने कार्गो गोदाम में एक ज्ञात मालवाहक से माल की खेप स्वीकार कर रहे हैं। उसके माल को स्वीकार करने से पहले आप क्या देखेंगे?","Approval from Airline security","एयरलाइन सुरक्षा से अनुमोदन","Approval from DGCA","डीजीसीए से मंजूरी","Approval from appropriate authority","उपयुक्त प्राधिकारी से अनुमोदन","Approval from Airport Operator","हवाई अड्डे के संचालक से स्वीकृति","Approval from appropriate authority","उपयुक्त प्राधिकारी से अनुमोदन"
47,"Annex 9 primarily focus on","","Aerodromes","","Facilitation","","Aviation Security","","Rules of the air","","Facilitation",""
